Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.026647,-0.0016089,-0.13415,0,0,0,105.44,0.47113,-0.00084986,-0.016209,1.206,-0.0010424,1.3628,0,0,0,0,0,0,package://smr200/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://smr200/meshes/base_link.STL,,21087-0200-000-1;21087-0100-000-1;21087-0400-000-1;21087-0500-000-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
swing_arm_left_link,-0.083791,0.023764,-0.044602,0,0,0,13.9,0.017736,0.0036377,3.2937E-06,0.046908,-4.7587E-06,0.052747,0,0,0,0,0,0,package://smr200/meshes/swing_arm_left_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://smr200/meshes/swing_arm_left_link.STL,,21087-0300-000 DRIVER WHEEL L V3-1,frame_swing_left,axis_swing_left,swing_arm_left_joint,continuous,0.1575,0.21,-0.218000000000007,-1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_left_link,5.76130931278368E-08,9.33412154703328E-05,3.34998105323558E-05,0,0,0,4.92028521666382,0.0086242644686345,2.70522886397653E-08,-4.32844949337095E-09,0.00861561656114537,-2.85497232661818E-06,0.0155135674366376,0,0,0,0,0,0,package://smr200/meshes/wheel_left_link.STL,0.792156862745098,0.792156862745098,0.792156862745098,1,0,0,0,0,0,0,package://smr200/meshes/wheel_left_link.STL,,GSTN-150-25H7_754394-1,frame_wheel_left,axis_wheel_left,wheel_left_joint,continuous,-0.1575,0.054,0.037,0,0,0,swing_arm_left_link,0,0,1,100,50,,,,,,,,,,
caster_front_left_link,-0.00916794690411099,0.000148743395371853,-0.0232497355491759,0,0,0,0.148884637872198,8.24463656140124E-05,1.14375001225129E-08,-1.83743957993879E-05,8.10551190550526E-05,1.1068460631072E-08,0.000103110866186914,0,0,0,0,0,0,package://smr200/meshes/caster_front_left_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://smr200/meshes/caster_front_left_link.STL,,L-ALTH-80K-331116_arm-1,frame_caster_front_left,axis_caster_front_left,caster_front_left_joint,continuous,0.1575,0.0289999999999999,-0.0125000000000001,1.5707963267949,0,0,swing_arm_left_link,0,0,-1,,,,,,,,,,,,
caster_wheel_front_left_link,9.07118093879111E-06,3.41600020535848E-05,1.00280443698919E-05,0,0,0,0.286814980350806,0.000143492634284959,4.40244433021421E-09,-3.53813210967159E-08,0.000143527236701207,-3.22862629139751E-08,0.000245134545952503,0,0,0,0,0,0,package://smr200/meshes/caster_wheel_front_left_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://smr200/meshes/caster_wheel_front_left_link.STL,,L-ALTH-80K-331116_wheel-1,frame_caster_wheel_front_left,axis_caster_wheel_front_left,caster_wheel_front_left_joint,continuous,-0.038,0,-0.062,-1.5708,0,0,caster_front_left_link,0,0,-1,,,,,,,,,,,,
swing_arm_right_link,-0.0837911210321309,-0.023763896430483,-0.0445953369512286,0,0,0,13.9000089506776,0.0177364623310523,-0.00363766903324375,3.59190964854568E-06,0.0469077047240042,1.43366828915928E-06,0.0527469772594403,0,0,0,0,0,0,package://smr200/meshes/swing_arm_right_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://smr200/meshes/swing_arm_right_link.STL,,21087-0300-000 DRIVER WHEEL R V3-2,frame_swing_right,axis_swing_right,swing_arm_right_joint,continuous,0.1575,-0.21,-0.218000000000007,1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
wheel_right_link,5.76130930940097E-08,-9.33412154702773E-05,-3.34998105322865E-05,0,0,0,4.92028521666381,0.00862426446863447,-2.70522886400945E-08,4.32844948903954E-09,0.00861561656114534,-2.85497232661669E-06,0.0155135674366376,0,0,0,0,0,0,package://smr200/meshes/wheel_right_link.STL,0.792156862745098,0.792156862745098,0.792156862745098,1,0,0,0,0,0,0,package://smr200/meshes/wheel_right_link.STL,,GSTN-150-25H7_754394-2,frame_wheel_right,axis_wheel_right,wheel_right_,continuous,-0.1575,-0.054,0.037,0,0,0,swing_arm_right_link,0,0,1,100,50,,,,,,,,,,
caster_front_right_link,-0.00916794689172473,0.000148743404553092,-0.0232497355369849,0,0,0,0.148884637783886,8.24463655345415E-05,1.14375353405549E-08,-1.83743957438304E-05,8.10551189419511E-05,1.10684955081094E-08,0.000103110866108712,0,0,0,0,0,0,package://smr200/meshes/caster_front_right_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://smr200/meshes/caster_front_right_link.STL,,L-ALTH-80K-331116_arm-2,frame_caster_front_right,axis_caster_front_right,caster_front_right_joint,continuous,0.1575,-0.0290000000000012,-0.0125,-1.5707963267949,0,0,swing_arm_right_link,0,0,-1,,,,,,,,,,,,
caster_wheel_front_right_link,-2.81076897244992E-05,2.14277817018327E-05,1.00280443800782E-05,0,0,0,0.286814980349857,0.000143519083987807,-1.5330308432154E-08,1.63294248752922E-08,0.000143500786998235,-4.5028774285973E-08,0.000245134545952498,0,0,0,0,0,0,package://smr200/meshes/caster_wheel_front_right_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://smr200/meshes/caster_wheel_front_right_link.STL,,L-ALTH-80K-331116_wheel-2,frame_caster_wheel_front_right,axis_caster_wheel_front_right,caster_wheel_front_right_joint,continuous,-0.038,0,-0.062,1.5708,0,0,caster_front_right_link,0,0,-1,,,,,,,,,,,,
caster_rear_left_link,-0.00916794690398598,0.000148743394883466,-0.0232497355491254,0,0,0,0.148884637869508,8.24463656126247E-05,1.143749909265E-08,-1.83743957990951E-05,8.10551190546306E-05,1.10684603347817E-08,0.000103110866185491,0,0,0,0,0,0,package://smr200/meshes/caster_rear_left_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://smr200/meshes/caster_rear_left_link.STL,,L-ALTH-80K-331116_arm-4,frame_caster_rear_left,axis_caster_rear_left,caster_rear_left_joint,continuous,-0.299,0.21,-0.245800000000008,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
